Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,tendonvi,diachi,vitri,dienthoai,quanhuyen,phuongxa,RLongitude,RLatitude
dfc051e5-c050-4f14-89b2-5e0fe9d79f93,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/1ae6daa1-b310-4e2b-84ae-8abcfd86ef7c,2022-08-08T15:07:54.000Z,admin,2,2022-08-08T15:07:54.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,hcm_thcs.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,118 Đường Nam Hòa,"{""type"":""Point"",""coordinates"":[106.762961,10.827433]}",62808388,Thành Phố Thủ Đức,Phường Phước Long A,106.762961,10.827433
70161bfa-6e2d-4fe0-9df9-c45a4bda0368,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/7c119397-cf77-4942-aff0-917ae6639ad3,2022-08-08T15:11:06.000Z,admin,2,2022-08-08T15:11:06.000Z,admin,2,Trường Trung Học Cơ Sở & Trung Học Phổ Thông Trí Đức,hcm_thcs.xlsx,Trường Trung Học Cơ Sở & Trung Học Phổ Thông Trí Đức,5 Đường Thoại Ngọc Hầu,"{""type"":""Point"",""coordinates"":[106.640115,10.784792]}",39736369,Quận Tân Phú,Phường Hòa Thạnh,106.640115,10.784792
55149eb8-3c08-4b17-9b90-7f07c2dcffe0,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/e2ed8f2a-74b6-4dc1-8545-f0caec90f6f4,2022-08-08T15:11:07.000Z,admin,2,2022-08-08T15:11:07.000Z,admin,2,Trường Trung Học Cơ Sở An Thới Đông,hcm_thcs.xlsx,Trường Trung Học Cơ Sở An Thới Đông,Đường An Thới Đông,"{""type"":""Point"",""coordinates"":[106.807908,10.58033]}",,Huyện Cần Giờ,Xã An Thới Đông,106.807908,10.58033
3147e270-9d4e-4f91-bfe9-3825f19786cb,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/34b6691c-26e5-4927-bc7a-4e4355f69288,2022-08-08T15:11:07.000Z,admin,2,2022-08-08T15:11:07.000Z,admin,2,Trường Trung Học Cơ Sở An Lạc,hcm_thcs.xlsx,Trường Trung Học Cơ Sở An Lạc,4B Đường Phùng Tá Chu,"{""type"":""Point"",""coordinates"":[106.620888,10.756568]}",38750943,Quận Bình Tân,Phường An Lạc A,106.620888,10.756568
9746e28a-f053-46cf-aa23-c158e2a0c788,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/cd5298d6-eb2a-4f31-afe1-5f7ca9915332,2022-08-08T15:36:00.000Z,admin,2,2022-08-08T15:36:00.000Z,admin,2,Trường Trung Học Cơ Sở Bình Khánh,hcm_thcs.xlsx,Trường Trung Học Cơ Sở Bình Khánh,,"{""type"":""Point"",""coordinates"":[106.787930130959,10.6425935800613]}",,Huyện Cần Giờ,Xã Bình Khánh,106.787930130959,10.6425935800613
419478f6-7dab-429a-9f93-09d3903ca91d,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/13e46c52-4fa4-4427-a214-c0b8dab06904,2022-08-08T15:36:02.000Z,admin,2,2022-08-08T15:36:02.000Z,admin,2,Trường Trung Học Cơ Sở Cách Mạng Tháng Tám,hcm_thcs.xlsx,Trường Trung Học Cơ Sở Cách Mạng Tháng Tám,38641985 Đường Cách Mạng Tháng Tám,"{""type"":""Point"",""coordinates"":[106.679171,10.779055]}",289,Quận 10,Phường 12,106.679171,10.779055
12ab507f-42ed-4600-b4d7-02550e428e75,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/729957a4-10a1-4f8b-9352-18f81bee4533,2022-08-08T15:36:04.000Z,admin,2,2022-08-08T15:36:04.000Z,admin,2,Trường Trung Học Cơ Sở Chi Lăng,hcm_thcs.xlsx,Trường Trung Học Cơ Sở Chi Lăng,129/63A Đường Nguyễn Hữu Hào,"{""type"":""Point"",""coordinates"":[106.700535,10.762486]}",39401425,Quận 4,Phường 9,106.700535,10.762486
37239e80-9967-4b61-b53a-2d933945e188,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/124ad0dd-76a7-40ec-8fa2-c09edd933091,2022-08-08T15:36:08.000Z,admin,2,2022-08-08T15:36:08.000Z,admin,2,Trường Trung Học Cơ Sở Đặng Trần Côn,hcm_thcs.xlsx,Trường Trung Học Cơ Sở Đặng Trần Côn,15/29 Đường Cầu Xéo,"{""type"":""Point"",""coordinates"":[106.625549,10.798988]}",38496032,Quận Tân Phú,Phường Tân Sơn Nhì,106.625549,10.798988
69d8bdc4-468e-4d3b-98f5-3006e8b8f970,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/8a79044c-d3d7-4ae8-b2d3-f5773be3b975,2022-08-08T15:06:55.000Z,admin,2,2022-08-08T15:06:55.000Z,admin,2,Trường Trung Học Cơ Sở - Phổ Thông Trung Học Nam Việt - Cơ Sở 6,hcm_thcs.xlsx,Trường Trung Học Cơ Sở - Phổ Thông Trung Học Nam Việt - Cơ Sở 6,599A Đường Lê Văn Thọ,"{""type"":""Point"",""coordinates"":[106.65595,10.85425]}",1900757575,Quận Gò Vấp,Phường 14,106.65595,10.85425
ae96b23f-417a-402d-b45a-7a850b899789,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/51dee833-859d-404a-a051-2c5acef1ac58,2022-08-08T15:06:57.000Z,admin,2,2022-08-08T15:06:57.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Bán Trú Hồng Hà,hcm_thcs.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Bán Trú Hồng Hà,14A Đường Số 1,"{""type"":""Point"",""coordinates"":[106.664196,10.845153]}",0902793727,Quận Gò Vấp,Phường 16,106.664196,10.845153
8578dc73-468c-41da-98dd-3c5455d1d8f2,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/36b36d12-c235-440b-88d2-bbdefe070310,2022-08-08T15:07:55.000Z,admin,2,2022-08-08T15:07:55.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,hcm_thcs.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,20/28/26 Đường Hồ Đắc Di,"{""type"":""Point"",""coordinates"":[106.633257,10.806619]}",,Quận Tân Phú,Phường Tây Thạnh,106.633257,10.806619
e572578f-8b47-44f1-a9fc-187ccaff3d7d,ICTHCM_EDU_THCS,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thcs/5afe7535-9f5c-4a5a-9561-b125ddb844c7,2022-08-08T15:07:54.000Z,admin,2,2022-08-08T15:07:54.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Nam Việt - Cơ Sở II,hcm_thcs.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Nam Việt - Cơ Sở II,6 (Số Cũ 17/15C) Đường Tân Thới Nhất 6,"{""type"":""Point"",""coordinates"":[106.608554,10.833934]}",,Quận 12,Phường Tân Thới Nhất,106.608554,10.833934
